Sat0_2:61:36:('9 Jun 2023 11:06:14.107', '9 Jun 2023 11:10:05.479')
Sat0_2:61:37:('9 Jun 2023 12:45:27.152', '9 Jun 2023 12:49:00.517')
Sat0_2:61:38:('9 Jun 2023 14:23:56.215', '9 Jun 2023 14:28:14.805')
Sat0_2:61:39:('10 Jun 2023 09:04:00.911', '10 Jun 2023 09:07:28.968')
Sat0_2:61:40:('10 Jun 2023 10:42:16.331', '10 Jun 2023 10:46:20.021')
Sat0_2:61:41:('10 Jun 2023 12:21:36.896', '10 Jun 2023 12:25:03.567')
Sat0_2:61:42:('10 Jun 2023 14:00:09.041', '10 Jun 2023 14:04:25.308')
Sat0_2:61:43:('10 Jun 2023 15:39:58.112', '10 Jun 2023 15:41:19.076')
Sat0_2:61:44:('11 Jun 2023 08:40:54.634', '11 Jun 2023 08:43:11.457')
Sat0_2:61:45:('11 Jun 2023 10:18:20.969', '11 Jun 2023 10:22:34.627')
Sat0_2:61:46:('11 Jun 2023 11:57:43.630', '11 Jun 2023 12:01:09.176')
Sat0_2:61:47:('11 Jun 2023 13:36:23.390', '11 Jun 2023 13:40:31.255')
Sat0_2:61:48:('11 Jun 2023 15:15:23.544', '11 Jun 2023 15:18:31.310')
Sat0_2:61:49:('12 Jun 2023 09:54:29.564', '12 Jun 2023 09:58:48.182')
Sat0_2:61:50:('12 Jun 2023 11:33:47.545', '12 Jun 2023 11:37:17.808')
Sat0_2:61:51:('12 Jun 2023 13:12:38.087', '12 Jun 2023 13:16:34.211')
Sat0_2:61:52:('12 Jun 2023 14:51:18.588', '12 Jun 2023 14:55:10.106')
Sat0_2:61:53:('13 Jun 2023 09:30:43.783', '13 Jun 2023 09:34:59.343')
Sat0_2:61:54:('13 Jun 2023 11:09:49.516', '13 Jun 2023 11:13:29.228')
Sat0_2:61:55:('13 Jun 2023 12:48:52.049', '13 Jun 2023 12:52:35.714')
Sat0_2:61:56:('13 Jun 2023 14:27:23.388', '13 Jun 2023 14:31:35.415')
Sat0_2:61:57:('14 Jun 2023 09:07:05.757', '14 Jun 2023 09:11:06.239')
Sat0_2:61:58:('14 Jun 2023 10:45:50.875', '14 Jun 2023 10:49:42.705')
Sat0_2:61:59:('14 Jun 2023 12:25:04.266', '14 Jun 2023 12:28:37.305')
Sat0_2:61:60:('14 Jun 2023 14:03:33.350', '14 Jun 2023 14:07:51.997')
Sat0_3:61:0:('1 Jun 2023 09:12:25.084', '1 Jun 2023 09:13:35.335')
Sat0_3:61:1:('1 Jun 2023 10:49:12.944', '1 Jun 2023 10:53:29.477')
Sat0_3:61:2:('1 Jun 2023 12:28:34.505', '1 Jun 2023 12:32:01.372')
Sat0_3:61:3:('1 Jun 2023 14:07:18.545', '1 Jun 2023 14:11:21.693')
Sat0_3:61:4:('1 Jun 2023 15:46:08.642', '1 Jun 2023 15:49:38.831')
Sat0_3:61:5:('2 Jun 2023 10:25:23.702', '2 Jun 2023 10:29:42.201')
Sat0_3:61:6:('2 Jun 2023 12:04:37.454', '2 Jun 2023 12:08:11.244')
Sat0_3:61:7:('2 Jun 2023 13:43:33.056', '2 Jun 2023 13:47:23.842')
Sat0_3:61:8:('2 Jun 2023 15:22:08.692', '2 Jun 2023 15:26:11.019')
Sat0_3:61:9:('3 Jun 2023 10:01:40.896', '3 Jun 2023 10:05:51.838')
Sat0_3:61:10:('3 Jun 2023 11:40:38.987', '3 Jun 2023 11:44:23.645')
Sat0_3:61:11:('3 Jun 2023 13:19:46.401', '3 Jun 2023 13:23:25.196')
Sat0_3:61:12:('3 Jun 2023 14:58:16.044', '3 Jun 2023 15:02:32.246')
Sat0_3:61:13:('4 Jun 2023 09:38:07.091', '4 Jun 2023 09:41:56.058')
Sat0_3:61:14:('4 Jun 2023 11:16:40.550', '4 Jun 2023 11:20:37.711')
Sat0_3:61:15:('4 Jun 2023 12:55:57.610', '4 Jun 2023 12:59:27.280')
Sat0_3:61:16:('4 Jun 2023 14:34:27.461', '4 Jun 2023 14:38:45.928')
Sat0_3:61:17:('5 Jun 2023 09:14:47.414', '5 Jun 2023 09:17:49.887')
Sat0_3:61:18:('5 Jun 2023 10:52:43.691', '5 Jun 2023 10:56:52.414')
Sat0_3:61:19:('5 Jun 2023 12:32:05.991', '5 Jun 2023 12:35:31.404')
Sat0_3:61:20:('5 Jun 2023 14:10:41.146', '5 Jun 2023 14:14:54.134')
Sat0_3:61:21:('5 Jun 2023 15:50:00.371', '5 Jun 2023 15:52:25.864')
Sat0_3:61:22:('6 Jun 2023 08:52:07.432', '6 Jun 2023 08:53:07.849')
Sat0_3:61:23:('6 Jun 2023 10:28:49.954', '6 Jun 2023 10:33:06.685')
Sat0_3:61:24:('6 Jun 2023 12:08:11.360', '6 Jun 2023 12:11:38.390')
Sat0_3:61:25:('6 Jun 2023 13:46:55.790', '6 Jun 2023 13:50:58.513')
Sat0_3:61:26:('6 Jun 2023 15:25:45.162', '6 Jun 2023 15:29:16.971')
Sat0_3:61:27:('7 Jun 2023 10:05:00.911', '7 Jun 2023 10:09:19.326')
Sat0_3:61:28:('7 Jun 2023 11:44:14.236', '7 Jun 2023 11:47:48.366')
Sat0_3:61:29:('7 Jun 2023 13:23:10.277', '7 Jun 2023 13:27:00.606')
