Sat0_4:40:5:('1 Jun 2023 16:24:38.751', '1 Jun 2023 16:46:16.933')
Sat0_4:40:6:('1 Jun 2023 18:33:38.471', '1 Jun 2023 18:55:27.162')
Sat0_4:40:7:('1 Jun 2023 20:44:09.146', '1 Jun 2023 20:56:52.309')
Sat0_4:40:8:('2 Jun 2023 04:47:35.039', '2 Jun 2023 05:01:31.031')
Sat0_4:40:9:('2 Jun 2023 06:49:43.478', '2 Jun 2023 07:11:45.510')
Sat0_4:40:10:('2 Jun 2023 08:59:21.690', '2 Jun 2023 09:20:44.298')
Sat0_4:40:11:('2 Jun 2023 11:15:09.516', '2 Jun 2023 11:30:26.823')
Sat0_4:40:12:('2 Jun 2023 13:31:05.870', '2 Jun 2023 13:44:56.681')
Sat0_4:40:13:('2 Jun 2023 15:41:25.213', '2 Jun 2023 16:01:43.853')
Sat0_4:40:14:('2 Jun 2023 17:50:23.996', '2 Jun 2023 18:12:53.764')
Sat0_4:40:15:('2 Jun 2023 20:00:02.594', '2 Jun 2023 20:17:06.180')
Sat0_4:40:16:('3 Jun 2023 04:09:28.728', '3 Jun 2023 04:16:14.466')
Sat0_4:40:17:('3 Jun 2023 06:07:40.305', '3 Jun 2023 06:28:26.778')
Sat0_4:40:18:('3 Jun 2023 08:15:16.211', '3 Jun 2023 08:37:32.840')
Sat0_4:40:19:('3 Jun 2023 10:29:21.645', '3 Jun 2023 10:46:47.578')
Sat0_4:40:20:('3 Jun 2023 12:46:29.643', '3 Jun 2023 12:59:17.612')
Sat0_4:40:21:('3 Jun 2023 14:58:05.959', '3 Jun 2023 15:16:36.154')
Sat0_4:40:22:('3 Jun 2023 17:07:12.461', '3 Jun 2023 17:29:43.194')
Sat0_4:40:23:('3 Jun 2023 19:16:26.012', '3 Jun 2023 19:36:13.333')
Sat0_4:40:24:('4 Jun 2023 05:26:21.101', '4 Jun 2023 05:44:58.347')
Sat0_4:40:25:('4 Jun 2023 07:31:46.871', '4 Jun 2023 07:54:21.907')
Sat0_4:40:26:('4 Jun 2023 09:43:57.718', '4 Jun 2023 10:03:23.481')
Sat0_4:40:27:('4 Jun 2023 12:01:08.960', '4 Jun 2023 12:14:18.033')
