Sat0_1:159:75:('7 Jun 2023 14:52:52.670', '7 Jun 2023 15:14:08.488')
Sat0_1:159:76:('7 Jun 2023 16:59:54.812', '7 Jun 2023 17:21:10.629')
Sat0_1:159:77:('7 Jun 2023 19:06:56.953', '7 Jun 2023 19:28:12.770')
Sat0_1:159:78:('7 Jun 2023 21:13:59.094', '7 Jun 2023 21:35:14.911')
Sat0_1:159:79:('7 Jun 2023 23:21:01.235', '7 Jun 2023 23:42:17.053')
Sat0_1:159:80:('8 Jun 2023 01:28:03.376', '8 Jun 2023 01:49:19.194')
Sat0_1:159:81:('8 Jun 2023 03:35:05.518', '8 Jun 2023 03:56:21.335')
Sat0_1:159:82:('8 Jun 2023 05:42:07.659', '8 Jun 2023 06:03:23.476')
Sat0_1:159:83:('8 Jun 2023 07:49:09.800', '8 Jun 2023 08:10:25.617')
Sat0_1:159:84:('8 Jun 2023 09:56:11.941', '8 Jun 2023 10:17:27.759')
Sat0_1:159:85:('8 Jun 2023 12:03:14.083', '8 Jun 2023 12:24:29.900')
Sat0_1:159:86:('8 Jun 2023 14:10:16.224', '8 Jun 2023 14:31:32.041')
Sat0_1:159:87:('8 Jun 2023 16:17:18.365', '8 Jun 2023 16:38:34.182')
Sat0_1:159:88:('8 Jun 2023 18:24:20.506', '8 Jun 2023 18:45:36.324')
Sat0_1:159:89:('8 Jun 2023 20:31:22.647', '8 Jun 2023 20:52:38.465')
Sat0_1:159:90:('8 Jun 2023 22:38:24.789', '8 Jun 2023 22:59:40.606')
Sat0_1:159:91:('9 Jun 2023 00:45:26.930', '9 Jun 2023 01:06:42.747')
Sat0_1:159:92:('9 Jun 2023 02:52:29.071', '9 Jun 2023 03:13:44.889')
Sat0_1:159:93:('9 Jun 2023 04:59:31.212', '9 Jun 2023 05:20:47.030')
Sat0_1:159:94:('9 Jun 2023 07:06:33.353', '9 Jun 2023 07:27:49.171')
