Sat0_1:59:28:('7 Jun 2023 20:00:27.999', '7 Jun 2023 20:04:35.070')
Sat0_1:59:29:('7 Jun 2023 21:39:19.490', '7 Jun 2023 21:42:49.210')
Sat0_1:59:30:('8 Jun 2023 16:18:44.776', '8 Jun 2023 16:23:00.319')
Sat0_1:59:31:('8 Jun 2023 17:57:45.341', '8 Jun 2023 18:01:33.369')
Sat0_1:59:32:('8 Jun 2023 19:36:41.634', '8 Jun 2023 19:40:38.873')
Sat0_1:59:33:('8 Jun 2023 21:15:19.837', '8 Jun 2023 21:19:21.180')
Sat0_1:59:34:('9 Jun 2023 15:55:06.272', '9 Jun 2023 15:59:07.587')
Sat0_1:59:35:('9 Jun 2023 17:33:48.554', '9 Jun 2023 17:37:45.807')
Sat0_1:59:36:('9 Jun 2023 19:12:54.070', '9 Jun 2023 19:16:42.087')
Sat0_1:59:37:('9 Jun 2023 20:51:27.113', '9 Jun 2023 20:55:42.667')
Sat0_1:59:38:('10 Jun 2023 15:31:38.266', '10 Jun 2023 15:35:07.926')
Sat0_1:59:39:('10 Jun 2023 17:09:52.356', '10 Jun 2023 17:13:59.440')
Sat0_1:59:40:('10 Jun 2023 18:49:04.540', '10 Jun 2023 18:52:46.042')
Sat0_1:59:41:('10 Jun 2023 20:27:38.195', '10 Jun 2023 20:31:56.994')
Sat0_1:59:42:('11 Jun 2023 15:08:29.321', '11 Jun 2023 15:10:52.912')
Sat0_1:59:43:('11 Jun 2023 16:45:58.197', '11 Jun 2023 16:50:13.323')
Sat0_1:59:44:('11 Jun 2023 18:25:12.593', '11 Jun 2023 18:28:51.798')
Sat0_1:59:45:('11 Jun 2023 20:03:51.321', '11 Jun 2023 20:08:06.205')
Sat0_1:59:46:('11 Jun 2023 21:43:10.100', '11 Jun 2023 21:45:37.358')
Sat0_1:59:47:('12 Jun 2023 16:22:07.574', '12 Jun 2023 16:26:26.400')
Sat0_1:59:48:('12 Jun 2023 18:01:18.269', '12 Jun 2023 18:04:59.946')
Sat0_1:59:49:('12 Jun 2023 19:40:05.216', '12 Jun 2023 19:44:11.946')
Sat0_1:59:50:('12 Jun 2023 21:18:56.029', '12 Jun 2023 21:22:27.332')
Sat0_1:59:51:('13 Jun 2023 15:58:22.127', '13 Jun 2023 16:02:37.374')
Sat0_1:59:52:('13 Jun 2023 17:37:22.175', '13 Jun 2023 17:41:10.500')
Sat0_1:59:53:('13 Jun 2023 19:16:18.823', '13 Jun 2023 19:20:15.703')
Sat0_1:59:54:('13 Jun 2023 20:54:56.717', '13 Jun 2023 20:58:58.830')
Sat0_1:59:55:('14 Jun 2023 15:34:43.935', '14 Jun 2023 15:38:44.457')
Sat0_1:59:56:('14 Jun 2023 17:13:25.385', '14 Jun 2023 17:17:22.996')
Sat0_1:59:57:('14 Jun 2023 18:52:31.200', '14 Jun 2023 18:56:18.921')
Sat0_1:59:58:('14 Jun 2023 20:31:04.174', '14 Jun 2023 20:35:20.010')
Sat0_2:61:0:('1 Jun 2023 15:39:54.839', '1 Jun 2023 15:41:21.625')
Sat0_2:61:1:('1 Jun 2023 17:16:50.559', '1 Jun 2023 17:21:07.939')
Sat0_2:61:2:('1 Jun 2023 18:56:04.173', '1 Jun 2023 18:59:43.853')
Sat0_2:61:3:('1 Jun 2023 20:34:46.087', '1 Jun 2023 20:38:57.883')
Sat0_2:61:4:('1 Jun 2023 22:13:50.147', '1 Jun 2023 22:16:50.797')
Sat0_2:61:5:('2 Jun 2023 16:53:01.910', '2 Jun 2023 16:57:20.302')
Sat0_2:61:6:('2 Jun 2023 18:32:08.994', '2 Jun 2023 18:35:53.048')
Sat0_2:61:7:('2 Jun 2023 20:10:59.980', '2 Jun 2023 20:15:02.602')
Sat0_2:61:8:('2 Jun 2023 21:49:44.098', '2 Jun 2023 21:53:31.160')
Sat0_2:61:9:('3 Jun 2023 16:29:19.238', '3 Jun 2023 16:33:29.896')
Sat0_2:61:10:('3 Jun 2023 18:08:12.451', '3 Jun 2023 18:12:04.507')
Sat0_2:61:11:('3 Jun 2023 19:47:13.171', '3 Jun 2023 19:51:05.958')
Sat0_2:61:12:('3 Jun 2023 21:25:48.180', '3 Jun 2023 21:29:57.738')
Sat0_2:61:13:('4 Jun 2023 16:05:45.009', '4 Jun 2023 16:09:34.510')
Sat0_2:61:14:('4 Jun 2023 17:44:15.760', '4 Jun 2023 17:48:17.601')
Sat0_2:61:15:('4 Jun 2023 19:23:24.786', '4 Jun 2023 19:27:09.361')
Sat0_2:61:16:('4 Jun 2023 21:01:57.479', '4 Jun 2023 21:06:15.627')
Sat0_2:61:17:('5 Jun 2023 15:42:23.949', '5 Jun 2023 15:45:29.589')
Sat0_2:61:18:('5 Jun 2023 17:20:20.320', '5 Jun 2023 17:24:31.475')
Sat0_2:61:19:('5 Jun 2023 18:59:34.173', '5 Jun 2023 19:03:14.037')
Sat0_2:61:20:('5 Jun 2023 20:38:09.686', '5 Jun 2023 20:42:27.381')
Sat0_2:61:21:('5 Jun 2023 22:18:03.958', '5 Jun 2023 22:19:13.773')
Sat0_2:61:22:('6 Jun 2023 15:19:35.938', '6 Jun 2023 15:20:55.387')
Sat0_2:61:23:('6 Jun 2023 16:56:27.599', '6 Jun 2023 17:00:45.129')
Sat0_2:61:24:('6 Jun 2023 18:35:41.093', '6 Jun 2023 18:39:20.854')
Sat0_2:61:25:('6 Jun 2023 20:14:23.303', '6 Jun 2023 20:18:34.805')
Sat0_2:61:26:('6 Jun 2023 21:53:26.344', '6 Jun 2023 21:56:29.334')
Sat0_2:61:27:('7 Jun 2023 16:32:39.133', '7 Jun 2023 16:36:57.419')
Sat0_2:61:28:('7 Jun 2023 18:11:45.847', '7 Jun 2023 18:15:30.138')
Sat0_2:61:29:('7 Jun 2023 19:50:37.187', '7 Jun 2023 19:54:39.449')
Sat0_2:61:30:('7 Jun 2023 21:29:20.826', '7 Jun 2023 21:33:09.032')
Sat0_2:61:31:('8 Jun 2023 16:08:56.718', '8 Jun 2023 16:13:06.878')
Sat0_2:61:32:('8 Jun 2023 17:47:49.276', '8 Jun 2023 17:51:41.668')
Sat0_2:61:33:('8 Jun 2023 19:26:50.335', '8 Jun 2023 19:30:42.783')
Sat0_2:61:34:('8 Jun 2023 21:05:25.154', '8 Jun 2023 21:09:35.231')
Sat0_2:61:35:('9 Jun 2023 15:45:22.861', '9 Jun 2023 15:49:11.252')
Sat0_2:61:36:('9 Jun 2023 17:23:52.606', '9 Jun 2023 17:27:54.808')
Sat0_2:61:37:('9 Jun 2023 19:03:01.880', '9 Jun 2023 19:06:46.209')
Sat0_2:61:38:('9 Jun 2023 20:41:34.593', '9 Jun 2023 20:45:52.860')
Sat0_2:61:39:('10 Jun 2023 15:22:02.448', '10 Jun 2023 15:25:05.818')
Sat0_2:61:40:('10 Jun 2023 16:59:57.238', '10 Jun 2023 17:04:08.691')
Sat0_2:61:41:('10 Jun 2023 18:39:11.179', '10 Jun 2023 18:42:50.953')
Sat0_2:61:42:('10 Jun 2023 20:17:46.874', '10 Jun 2023 20:22:04.427')
Sat0_2:61:43:('10 Jun 2023 21:57:37.209', '10 Jun 2023 21:58:55.390')
Sat0_2:61:44:('11 Jun 2023 14:59:17.466', '11 Jun 2023 15:00:28.723')
Sat0_2:61:45:('11 Jun 2023 16:36:04.646', '11 Jun 2023 16:40:22.318')
Sat0_2:61:46:('11 Jun 2023 18:15:18.011', '11 Jun 2023 18:18:57.858')
Sat0_2:61:47:('11 Jun 2023 19:54:00.520', '11 Jun 2023 19:58:11.724')
Sat0_2:61:48:('11 Jun 2023 21:33:02.565', '11 Jun 2023 21:36:07.839')
Sat0_2:61:49:('12 Jun 2023 16:12:16.365', '12 Jun 2023 16:16:34.534')
Sat0_2:61:50:('12 Jun 2023 17:51:22.700', '12 Jun 2023 17:55:07.234')
Sat0_2:61:51:('12 Jun 2023 19:30:14.395', '12 Jun 2023 19:34:16.295')
Sat0_2:61:52:('12 Jun 2023 21:08:57.564', '12 Jun 2023 21:12:46.887')
Sat0_2:61:53:('13 Jun 2023 15:48:34.211', '13 Jun 2023 15:52:43.855')
Sat0_2:61:54:('13 Jun 2023 17:27:26.102', '13 Jun 2023 17:31:18.833')
Sat0_2:61:55:('13 Jun 2023 19:06:27.499', '13 Jun 2023 19:10:19.609')
Sat0_2:61:56:('13 Jun 2023 20:45:02.137', '13 Jun 2023 20:49:12.714')
Sat0_2:61:57:('14 Jun 2023 15:25:00.729', '14 Jun 2023 15:28:47.980')
Sat0_2:61:58:('14 Jun 2023 17:03:29.456', '14 Jun 2023 17:07:32.017')
Sat0_2:61:59:('14 Jun 2023 18:42:38.971', '14 Jun 2023 18:46:23.063')
Sat0_2:61:60:('14 Jun 2023 20:21:11.711', '14 Jun 2023 20:25:30.086')
Sat0_3:58:0:('1 Jun 2023 17:06:57.894', '1 Jun 2023 17:11:16.650')
Sat0_3:58:1:('1 Jun 2023 18:46:09.128', '1 Jun 2023 18:49:50.440')
Sat0_3:58:2:('1 Jun 2023 20:24:55.340', '1 Jun 2023 20:29:02.815')
Sat0_3:58:3:('1 Jun 2023 22:03:47.663', '1 Jun 2023 22:07:15.436')
Sat0_3:58:4:('2 Jun 2023 16:43:11.968', '2 Jun 2023 16:47:27.848')
Sat0_3:58:5:('2 Jun 2023 18:22:13.141', '2 Jun 2023 18:26:00.815')
Sat0_3:58:6:('2 Jun 2023 20:01:09.006', '2 Jun 2023 20:05:06.676')
Sat0_3:58:7:('2 Jun 2023 21:39:47.594', '2 Jun 2023 21:43:47.984')
Sat0_3:58:8:('3 Jun 2023 16:19:33.096', '3 Jun 2023 16:23:35.332')
Sat0_3:58:9:('3 Jun 2023 17:58:16.360', '3 Jun 2023 18:02:13.181')
Sat0_3:58:10:('3 Jun 2023 19:37:21.511', '3 Jun 2023 19:41:09.886')
Sat0_3:58:11:('3 Jun 2023 21:15:54.647', '3 Jun 2023 21:20:09.844')
Sat0_3:58:12:('4 Jun 2023 15:56:04.524', '4 Jun 2023 15:59:36.079')
Sat0_3:58:13:('4 Jun 2023 17:34:20.106', '4 Jun 2023 17:38:26.781')
Sat0_3:58:14:('4 Jun 2023 19:13:32.079', '4 Jun 2023 19:17:13.786')
Sat0_3:58:15:('4 Jun 2023 20:52:05.606', '4 Jun 2023 20:56:24.436')
